post_id,order_id,product_sku,order_date,order_value,shipping_cost,profit_margin,post_metadata
P001,ORD-10021,SKU-A45,2024-03-01,129.99,8.50,0.38,"{""Engagement_Score"": 170.0, ""Ad_Frequency"": 4.2, ""Conversion_Cost"": 25.82, ""Region_Code"": ""APAC"", ""Device_Type"": ""Mobile"", ""Browser_Info"": ""Chrome"", ""Time_On_Page"": ""85"", ""Bounce_Rate"": 28.5, ""Scroll_Depth"": 72.0, ""Viewability_Score"": 0.88, ""Ad_Relevance"": ""High"", ""Keyword_Density"": 0.042, ""Spam_Flag"": 0, ""Retention_Rate"": 0.62, ""Churn_Probability"": 0.18, ""Session_Duration"": ""245"", ""Conversion_Window"": ""7d"", ""Random_Date"": ""2024-03-01""}"
P002,ORD-10022,SKU-B12,2024-03-01,89.50,6.00,0.42,"{""Engagement_Score"": 210.0, ""Ad_Frequency"": 3.8, ""Conversion_Cost"": 18.50, ""Region_Code"": ""IN"", ""Device_Type"": ""Tablet"", ""Browser_Info"": ""Safari"", ""Time_On_Page"": ""120"", ""Bounce_Rate"": 22.1, ""Scroll_Depth"": 88.0, ""Viewability_Score"": 0.91, ""Ad_Relevance"": ""High"", ""Keyword_Density"": 0.038, ""Spam_Flag"": 0, ""Retention_Rate"": 0.71, ""Churn_Probability"": 0.12, ""Session_Duration"": ""312"", ""Conversion_Window"": ""14d"", ""Random_Date"": ""2024-03-01""}"
P003,ORD-10023,SKU-C08,2024-03-02,245.00,12.00,0.31,"{""Engagement_Score"": 145.0, ""Ad_Frequency"": 5.1, ""Conversion_Cost"": 42.00, ""Region_Code"": ""EMEA"", ""Device_Type"": ""Desktop"", ""Browser_Info"": ""Firefox"", ""Time_On_Page"": ""65"", ""Bounce_Rate"": 38.2, ""Scroll_Depth"": 55.0, ""Viewability_Score"": 0.72, ""Ad_Relevance"": ""Medium"", ""Keyword_Density"": 0.055, ""Spam_Flag"": 0, ""Retention_Rate"": 0.48, ""Churn_Probability"": 0.31, ""Session_Duration"": ""180"", ""Conversion_Window"": ""7d"", ""Random_Date"": ""2024-03-02""}"
P004,ORD-10024,SKU-D22,2024-03-02,55.00,4.50,0.52,"{""Engagement_Score"": 390.0, ""Ad_Frequency"": 2.9, ""Conversion_Cost"": 9.80, ""Region_Code"": ""APAC"", ""Device_Type"": ""Mobile"", ""Browser_Info"": ""Chrome"", ""Time_On_Page"": ""210"", ""Bounce_Rate"": 14.5, ""Scroll_Depth"": 95.0, ""Viewability_Score"": 0.96, ""Ad_Relevance"": ""High"", ""Keyword_Density"": 0.028, ""Spam_Flag"": 0, ""Retention_Rate"": 0.84, ""Churn_Probability"": 0.08, ""Session_Duration"": ""540"", ""Conversion_Window"": ""1d"", ""Random_Date"": ""2024-03-02""}"
P005,ORD-10025,SKU-A45,2024-03-03,99.99,7.00,0.39,"{""Engagement_Score"": 185.0, ""Ad_Frequency"": 4.5, ""Conversion_Cost"": 22.00, ""Region_Code"": ""IN"", ""Device_Type"": ""Mobile"", ""Browser_Info"": ""Chrome"", ""Time_On_Page"": ""95"", ""Bounce_Rate"": 25.8, ""Scroll_Depth"": 78.0, ""Viewability_Score"": 0.85, ""Ad_Relevance"": ""High"", ""Keyword_Density"": 0.040, ""Spam_Flag"": 0, ""Retention_Rate"": 0.65, ""Churn_Probability"": 0.20, ""Session_Duration"": ""280"", ""Conversion_Window"": ""7d"", ""Random_Date"": ""2024-03-03""}"
P006,ORD-10026,SKU-E31,2024-03-03,178.00,10.50,0.28,"{""Engagement_Score"": 120.0, ""Ad_Frequency"": 6.2, ""Conversion_Cost"": 38.50, ""Region_Code"": ""NA"", ""Device_Type"": ""Desktop"", ""Browser_Info"": ""Edge"", ""Time_On_Page"": ""45"", ""Bounce_Rate"": 45.0, ""Scroll_Depth"": 40.0, ""Viewability_Score"": 0.65, ""Ad_Relevance"": ""Low"", ""Keyword_Density"": 0.068, ""Spam_Flag"": 1, ""Retention_Rate"": 0.35, ""Churn_Probability"": 0.45, ""Session_Duration"": ""120"", ""Conversion_Window"": ""30d"", ""Random_Date"": ""2024-03-03""}"
P007,ORD-10027,SKU-B12,2024-03-04,320.00,15.00,0.25,"{""Engagement_Score"": 98.0, ""Ad_Frequency"": 7.8, ""Conversion_Cost"": 95.00, ""Region_Code"": ""EMEA"", ""Device_Type"": ""Desktop"", ""Browser_Info"": ""Chrome"", ""Time_On_Page"": ""180"", ""Bounce_Rate"": 30.0, ""Scroll_Depth"": 62.0, ""Viewability_Score"": 0.78, ""Ad_Relevance"": ""Medium"", ""Keyword_Density"": 0.045, ""Spam_Flag"": 0, ""Retention_Rate"": 0.52, ""Churn_Probability"": 0.28, ""Session_Duration"": ""420"", ""Conversion_Window"": ""14d"", ""Random_Date"": ""2024-03-04""}"
P008,ORD-10028,SKU-D22,2024-03-04,42.00,3.50,0.58,"{""Engagement_Score"": 450.0, ""Ad_Frequency"": 2.1, ""Conversion_Cost"": 8.20, ""Region_Code"": ""APAC"", ""Device_Type"": ""Mobile"", ""Browser_Info"": ""TikTok"", ""Time_On_Page"": ""240"", ""Bounce_Rate"": 12.0, ""Scroll_Depth"": 98.0, ""Viewability_Score"": 0.97, ""Ad_Relevance"": ""High"", ""Keyword_Density"": 0.022, ""Spam_Flag"": 0, ""Retention_Rate"": 0.88, ""Churn_Probability"": 0.06, ""Session_Duration"": ""610"", ""Conversion_Window"": ""1d"", ""Random_Date"": ""2024-03-04""}"
P009,ORD-10029,SKU-C08,2024-03-05,155.00,9.00,0.35,"{""Engagement_Score"": 195.0, ""Ad_Frequency"": 3.5, ""Conversion_Cost"": 20.50, ""Region_Code"": ""IN"", ""Device_Type"": ""Mobile"", ""Browser_Info"": ""Safari"", ""Time_On_Page"": ""110"", ""Bounce_Rate"": 20.5, ""Scroll_Depth"": 82.0, ""Viewability_Score"": 0.90, ""Ad_Relevance"": ""High"", ""Keyword_Density"": 0.035, ""Spam_Flag"": 0, ""Retention_Rate"": 0.68, ""Churn_Probability"": 0.16, ""Session_Duration"": ""310"", ""Conversion_Window"": ""7d"", ""Random_Date"": ""2024-03-05""}"
P010,ORD-10030,SKU-F55,2024-03-05,215.00,11.00,0.30,"{""Engagement_Score"": 135.0, ""Ad_Frequency"": 5.8, ""Conversion_Cost"": 48.80, ""Region_Code"": ""NA"", ""Device_Type"": ""Desktop"", ""Browser_Info"": ""Chrome"", ""Time_On_Page"": ""75"", ""Bounce_Rate"": 35.0, ""Scroll_Depth"": 50.0, ""Viewability_Score"": 0.70, ""Ad_Relevance"": ""Medium"", ""Keyword_Density"": 0.058, ""Spam_Flag"": 0, ""Retention_Rate"": 0.44, ""Churn_Probability"": 0.36, ""Session_Duration"": ""200"", ""Conversion_Window"": ""14d"", ""Random_Date"": ""2024-03-05""}"
